V1,V2,
Zm00001d010800,5,0
Zm00001d015550,2,0
Zm00001d007349,7,0
Zm00001d018097,6,1
Zm00001d042953,6,0
Zm00001d042918,8,0
Zm00001d005051,7,1
Zm00001d020032,8,0
Zm00001d030149,3,0
Zm00001d017350,6,1
Zm00001d031434,6,0
Zm00001d021665,2,0
Zm00001d047745,2,0
Zm00001d034404,3,0
Zm00001d047581,7,0
Zm00001d044995,2,0
Zm00001d029287,2,1
Zm00001d013451,2,1
Zm00001d029061,2,0
Zm00001d023565,2,1
Zm00001d024754,3,0
Zm00001d043402,6,1
Zm00001d010740,6,1
Zm00001d015407,7,1
Zm00001d012953,7,0
Zm00001d033319,6,0
Zm00001d051545,7,0
Zm00001d003981,2,0
Zm00001d036989,6,0
Zm00001d042135,5,0
Zm00001d036901,5,0
Zm00001d015026,3,0
Zm00001d020306,7,0
Zm00001d018930,8,1
Zm00001d019534,5,0
Zm00001d022557,7,0
Zm00001d018045,8,1
Zm00001d026457,2,0
Zm00001d029410,7,0
Zm00001d028303,5,0
Zm00001d010611,8,0
Zm00001d046935,7,0
Zm00001d022367,4,0
Zm00001d022626,8,0
Zm00001d018318,4,0
Zm00001d014192,7,0
Zm00001d044426,4,0
Zm00001d015475,2,0
Zm00001d052167,2,1
Zm00001d018158,2,1
Zm00001d014491,2,0
Zm00001d012527,5,1
Zm00001d019207,2,1
Zm00001d043198,3,0
Zm00001d027510,3,1
Zm00001d019147,7,0
Zm00001d006639,6,0
Zm00001d027409,2,1
Zm00001d029372,7,0
Zm00001d049122,7,0
Zm00001d024357,2,0
Zm00001d018081,2,1
Zm00001d023692,8,0
Zm00001d038682,8,0
Zm00001d002688,3,0
Zm00001d037342,6,0
Zm00001d036370,5,0
Zm00001d014883,2,0
Zm00001d013656,3,0
Zm00001d011789,7,0
Zm00001d021655,5,0
Zm00001d028263,4,0
Zm00001d016896,5,0
Zm00001d009932,6,0
Zm00001d044694,5,0
Zm00001d034217,5,0
Zm00001d034488,5,0
Zm00001d043539,3,0
Zm00001d016714,7,0
Zm00001d020463,5,0
Zm00001d045395,5,0
Zm00001d007489,8,0
Zm00001d050273,3,0
Zm00001d029885,2,0
Zm00001d048208,2,1
Zm00001d028017,2,1
Zm00001d045054,4,0
Zm00001d030832,5,0
Zm00001d015921,6,0
Zm00001d008190,5,1
Zm00001d030253,8,0
Zm00001d052918,8,0
Zm00001d053967,7,1
