TF,Target
Zm00001d051465,Zm00001d040730
Zm00001d036768,Zm00001d046632
Zm00001d026094,Zm00001d020976
Zm00001d048527,Zm00001d032763
Zm00001d043915,Zm00001d026691
Zm00001d052905,Zm00001d044274
Zm00001d026271,Zm00001d010956
Zm00001d033870,Zm00001d038109
Zm00001d003645,Zm00001d053817
Zm00001d021263,Zm00001d045476
Zm00001d018225,Zm00001d052133
Zm00001d050781,Zm00001d013857
Zm00001d052738,Zm00001d053229
Zm00001d050310,Zm00001d034884
Zm00001d032265,Zm00001d047104
Zm00001d052288,Zm00001d021583
Zm00001d021057,Zm00001d008882
Zm00001d002829,Zm00001d030101
Zm00001d052229,Zm00001d011275
Zm00001d027846,Zm00001d028999
Zm00001d024324,Zm00001d021208
Zm00001d031725,Zm00001d043706
Zm00001d004512,Zm00001d008800
Zm00001d008225,Zm00001d015765
Zm00001d023411,Zm00001d053626
Zm00001d051465,Zm00001d021057
Zm00001d017420,Zm00001d032453
Zm00001d031620,Zm00001d017614
Zm00001d038355,Zm00001d034047
Zm00001d002799,Zm00001d044078
Zm00001d015614,Zm00001d036768
Zm00001d026113,Zm00001d034890
Zm00001d008225,Zm00001d015194
Zm00001d052180,Zm00001d027957
Zm00001d021268,Zm00001d027355
Zm00001d043915,Zm00001d050488
Zm00001d009103,Zm00001d045392
Zm00001d011597,Zm00001d023732
Zm00001d023955,Zm00001d006094
Zm00001d052288,Zm00001d025234
Zm00001d054080,Zm00001d036807
Zm00001d041781,Zm00001d017614
Zm00001d026094,Zm00001d045476
Zm00001d032295,Zm00001d020926
Zm00001d014863,Zm00001d017147
Zm00001d050310,Zm00001d012539
Zm00001d024701,Zm00001d051553
Zm00001d018930,Zm00001d007164
Zm00001d035512,Zm00001d048414
Zm00001d025896,Zm00001d029686
Zm00001d050247,Zm00001d038791
Zm00001d038843,Zm00001d021901
Zm00001d034503,Zm00001d044333
Zm00001d053151,Zm00001d021577
Zm00001d051465,Zm00001d006094
Zm00001d010233,Zm00001d021057
Zm00001d005892,Zm00001d014491
Zm00001d022628,Zm00001d009676
Zm00001d043474,Zm00001d045017
Zm00001d010676,Zm00001d012584
Zm00001d005892,Zm00001d001774
Zm00001d049364,Zm00001d045657
Zm00001d037274,Zm00001d035304
Zm00001d002618,Zm00001d021205
Zm00001d033987,Zm00001d031736
