V1,V2,
Zm00001d051932,2,0
Zm00001d005726,4,1
Zm00001d033657,5,0
Zm00001d031814,3,0
Zm00001d028399,2,0
Zm00001d011932,2,0
Zm00001d022579,5,0
Zm00001d008742,2,0
Zm00001d009013,5,1
Zm00001d041255,5,0
Zm00001d022626,2,0
Zm00001d007465,2,1
Zm00001d041323,2,0
Zm00001d004635,3,0
Zm00001d032443,3,0
Zm00001d050375,5,0
Zm00001d043183,2,0
Zm00001d003180,2,1
Zm00001d017420,3,1
Zm00001d043062,4,1
Zm00001d048152,3,0
Zm00001d031128,5,0
Zm00001d006540,2,0
Zm00001d033634,2,0
Zm00001d035134,3,1
Zm00001d046927,1,0
Zm00001d025057,3,0
Zm00001d035156,5,0
Zm00001d051700,4,1
Zm00001d040611,6,1
Zm00001d045533,6,1
Zm00001d025908,2,0
Zm00001d043879,3,0
Zm00001d044580,3,0
Zm00001d019629,2,0
Zm00001d038994,6,1
Zm00001d018107,6,0
Zm00001d046958,2,0
Zm00001d052890,3,1
Zm00001d032194,6,1
Zm00001d033020,6,0
Zm00001d023630,2,0
Zm00001d021813,3,0
Zm00001d053518,2,0
Zm00001d013655,2,0
Zm00001d037334,3,1
Zm00001d043221,3,0
Zm00001d019487,3,1
Zm00001d004459,3,0
Zm00001d034900,2,0
Zm00001d004523,2,0
Zm00001d052530,4,0
Zm00001d034457,5,1
Zm00001d000576,5,0
Zm00001d046281,2,0
Zm00001d032079,2,0
Zm00001d028505,2,0
Zm00001d002079,4,1
Zm00001d038003,4,0
Zm00001d002029,6,1
Zm00001d016549,6,0
Zm00001d044494,5,0
Zm00001d001766,4,0
Zm00001d032889,2,0
Zm00001d036727,3,0
Zm00001d012032,5,0
Zm00001d013947,4,0
Zm00001d029012,3,0
Zm00001d026096,4,1
Zm00001d038918,4,0
Zm00001d029875,7,1
Zm00001d010416,6,0
Zm00001d002801,3,1
Zm00001d018011,3,0
Zm00001d051675,2,0
Zm00001d042848,2,0
Zm00001d010545,3,0
Zm00001d018441,2,0
Zm00001d030285,3,0
Zm00001d027492,2,1
Zm00001d048804,2,0
Zm00001d029747,3,0
Zm00001d053830,3,0
Zm00001d033717,2,0
